fixture,sample_id,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,baseline_size,perturbed_size
p1-04,181,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,182,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,183,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,184,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,185,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,186,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,187,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,188,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,189,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,190,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,191,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,192,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,193,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,194,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,195,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,196,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,197,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,198,1.000000,1.000000,1.000000,1.000000,0,0
p1-04,199,1.000000,1.000000,1.000000,1.000000,0,0
p1-05,0,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,1,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,2,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,3,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,4,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,5,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,6,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,7,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,8,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,9,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,10,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,11,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,12,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,13,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,14,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,15,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,16,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,17,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,18,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,19,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,20,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,21,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,22,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,23,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,24,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,25,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,26,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,27,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,28,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,29,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,30,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,31,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,32,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,33,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,34,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,35,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,36,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,37,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,38,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,39,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,40,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,41,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,42,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,43,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,44,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,45,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,46,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,47,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,48,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,49,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,50,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,51,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,52,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,53,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,54,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,55,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,56,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,57,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,58,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,59,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,60,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,61,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,62,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,63,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,64,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,65,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,66,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,67,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,68,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,69,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,70,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,71,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,72,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,73,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,74,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,75,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,76,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,77,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,78,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,79,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,80,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,81,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,82,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,83,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,84,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,85,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,86,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,87,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,88,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,89,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,90,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,91,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,92,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,93,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,94,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,95,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,96,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,97,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,98,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,99,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,100,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,101,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,102,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,103,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,104,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,105,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,106,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,107,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,108,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,109,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,110,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,111,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,112,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,113,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,114,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,115,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,116,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,117,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,118,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,119,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,120,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,121,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,122,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,123,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,124,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,125,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,126,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,127,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,128,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,129,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,130,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,131,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,132,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,133,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,134,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,135,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,136,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,137,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,138,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,139,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,140,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,141,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,142,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,143,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,144,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,145,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,146,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,147,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,148,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,149,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,150,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,151,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,152,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,153,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,154,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,155,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,156,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,157,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,158,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,159,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,160,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,161,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,162,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,163,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,164,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,165,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,166,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,167,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,168,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,169,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,170,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,171,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,172,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,173,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,174,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,175,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,176,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,177,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,178,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,179,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,180,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,181,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,182,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,183,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,184,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,185,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,186,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,187,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,188,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,189,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,190,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,191,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,192,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,193,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,194,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,195,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,196,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,197,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,198,1.000000,1.000000,1.000000,1.000000,2,2
p1-05,199,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,0,1.000000,1.000000,1.000000,1.000000,2,2
