fixture,group,weight,factor,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,top10_hit_rate,baseline_size,perturbed_size,baseline_saturated_dp_count,perturbed_saturated_dp_count
03-agent,process,broken,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,broken,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,broken,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,broken,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,broken,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,1
03-agent,process,broken,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,1
03-agent,process,skipTests,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,skipTests,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,skipTests,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,skipTests,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,skipTests,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,skipTests,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,skipTests,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,skipTests,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,skipTests,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,manualIde,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,manualIde,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,manualIde,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,manualIde,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,manualIde,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,manualIde,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,manualIde,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,manualIde,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,1
