fixture,sample_id,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,baseline_size,perturbed_size
will-01,181,0.866667,1.000000,1.000000,1.000000,7,7
will-01,182,0.866667,1.000000,1.000000,1.000000,7,7
will-01,183,0.733333,1.000000,0.666667,1.000000,7,7
will-01,184,0.600000,1.000000,0.666667,1.000000,7,7
will-01,185,0.733333,1.000000,0.666667,1.000000,7,7
will-01,186,0.866667,1.000000,0.666667,1.000000,7,7
will-01,187,0.866667,1.000000,1.000000,1.000000,7,7
will-01,188,0.733333,1.000000,0.666667,1.000000,7,7
will-01,189,0.733333,1.000000,0.666667,1.000000,7,7
will-01,190,0.600000,1.000000,0.666667,0.800000,7,7
will-01,191,0.733333,1.000000,0.666667,1.000000,7,7
will-01,192,1.000000,1.000000,1.000000,1.000000,7,7
will-01,193,0.733333,1.000000,0.666667,1.000000,7,7
will-01,194,0.600000,1.000000,0.666667,0.800000,7,7
will-01,195,0.600000,1.000000,0.666667,1.000000,7,7
will-01,196,0.466667,1.000000,0.666667,1.000000,7,7
will-01,197,0.600000,1.000000,0.666667,0.800000,7,7
will-01,198,0.600000,1.000000,0.666667,0.800000,7,7
will-01,199,0.466667,1.000000,0.666667,0.800000,7,7
will-02,0,0.400000,1.000000,0.666667,1.000000,5,5
will-02,1,0.400000,1.000000,0.666667,1.000000,5,5
will-02,2,1.000000,1.000000,1.000000,1.000000,5,5
will-02,3,1.000000,1.000000,1.000000,1.000000,5,5
will-02,4,0.400000,1.000000,0.666667,1.000000,5,5
will-02,5,1.000000,1.000000,1.000000,1.000000,5,5
will-02,6,1.000000,1.000000,1.000000,1.000000,5,5
will-02,7,1.000000,1.000000,1.000000,1.000000,5,5
will-02,8,1.000000,1.000000,1.000000,1.000000,5,5
will-02,9,0.400000,1.000000,0.666667,1.000000,5,5
will-02,10,1.000000,1.000000,1.000000,1.000000,5,5
will-02,11,1.000000,1.000000,1.000000,1.000000,5,5
will-02,12,1.000000,1.000000,1.000000,1.000000,5,5
will-02,13,1.000000,1.000000,1.000000,1.000000,5,5
will-02,14,1.000000,1.000000,1.000000,1.000000,5,5
will-02,15,0.400000,1.000000,0.666667,1.000000,5,5
will-02,16,1.000000,1.000000,1.000000,1.000000,5,5
will-02,17,1.000000,1.000000,1.000000,1.000000,5,5
will-02,18,1.000000,1.000000,1.000000,1.000000,5,5
will-02,19,0.400000,1.000000,0.666667,1.000000,5,5
will-02,20,1.000000,1.000000,1.000000,1.000000,5,5
will-02,21,1.000000,1.000000,1.000000,1.000000,5,5
will-02,22,0.400000,1.000000,0.666667,1.000000,5,5
will-02,23,0.400000,1.000000,0.666667,1.000000,5,5
will-02,24,1.000000,1.000000,1.000000,1.000000,5,5
will-02,25,0.400000,1.000000,0.666667,1.000000,5,5
will-02,26,0.400000,1.000000,0.666667,1.000000,5,5
will-02,27,0.400000,1.000000,0.666667,1.000000,5,5
will-02,28,0.400000,1.000000,0.666667,1.000000,5,5
will-02,29,1.000000,1.000000,1.000000,1.000000,5,5
will-02,30,1.000000,1.000000,1.000000,1.000000,5,5
will-02,31,1.000000,1.000000,1.000000,1.000000,5,5
will-02,32,0.400000,1.000000,0.666667,1.000000,5,5
will-02,33,1.000000,1.000000,1.000000,1.000000,5,5
will-02,34,1.000000,1.000000,1.000000,1.000000,5,5
will-02,35,1.000000,1.000000,1.000000,1.000000,5,5
will-02,36,1.000000,1.000000,1.000000,1.000000,5,5
will-02,37,1.000000,1.000000,1.000000,1.000000,5,5
will-02,38,0.400000,1.000000,0.666667,1.000000,5,5
will-02,39,1.000000,1.000000,1.000000,1.000000,5,5
will-02,40,0.400000,1.000000,0.666667,1.000000,5,5
will-02,41,0.400000,1.000000,0.666667,1.000000,5,5
will-02,42,1.000000,1.000000,1.000000,1.000000,5,5
will-02,43,1.000000,1.000000,1.000000,1.000000,5,5
will-02,44,1.000000,1.000000,1.000000,1.000000,5,5
will-02,45,1.000000,1.000000,1.000000,1.000000,5,5
will-02,46,0.400000,1.000000,0.666667,1.000000,5,5
will-02,47,1.000000,1.000000,1.000000,1.000000,5,5
will-02,48,0.400000,1.000000,0.666667,1.000000,5,5
will-02,49,1.000000,1.000000,1.000000,1.000000,5,5
will-02,50,1.000000,1.000000,1.000000,1.000000,5,5
will-02,51,1.000000,1.000000,1.000000,1.000000,5,5
will-02,52,0.400000,1.000000,0.666667,1.000000,5,5
will-02,53,1.000000,1.000000,1.000000,1.000000,5,5
will-02,54,1.000000,1.000000,1.000000,1.000000,5,5
will-02,55,1.000000,1.000000,1.000000,1.000000,5,5
will-02,56,0.400000,1.000000,0.666667,1.000000,5,5
will-02,57,1.000000,1.000000,1.000000,1.000000,5,5
will-02,58,1.000000,1.000000,1.000000,1.000000,5,5
will-02,59,0.400000,1.000000,0.666667,1.000000,5,5
will-02,60,1.000000,1.000000,1.000000,1.000000,5,5
will-02,61,0.400000,1.000000,0.666667,1.000000,5,5
will-02,62,1.000000,1.000000,1.000000,1.000000,5,5
will-02,63,1.000000,1.000000,1.000000,1.000000,5,5
will-02,64,1.000000,1.000000,1.000000,1.000000,5,5
will-02,65,1.000000,1.000000,1.000000,1.000000,5,5
will-02,66,1.000000,1.000000,1.000000,1.000000,5,5
will-02,67,1.000000,1.000000,1.000000,1.000000,5,5
will-02,68,1.000000,1.000000,1.000000,1.000000,5,5
will-02,69,0.400000,1.000000,0.666667,1.000000,5,5
will-02,70,1.000000,1.000000,1.000000,1.000000,5,5
will-02,71,1.000000,1.000000,1.000000,1.000000,5,5
will-02,72,0.400000,1.000000,0.666667,1.000000,5,5
will-02,73,0.400000,1.000000,0.666667,1.000000,5,5
will-02,74,0.400000,1.000000,0.666667,1.000000,5,5
will-02,75,0.400000,1.000000,0.666667,1.000000,5,5
will-02,76,1.000000,1.000000,1.000000,1.000000,5,5
will-02,77,1.000000,1.000000,1.000000,1.000000,5,5
will-02,78,0.400000,1.000000,0.666667,1.000000,5,5
will-02,79,1.000000,1.000000,1.000000,1.000000,5,5
will-02,80,1.000000,1.000000,1.000000,1.000000,5,5
will-02,81,0.400000,1.000000,0.666667,1.000000,5,5
will-02,82,1.000000,1.000000,1.000000,1.000000,5,5
will-02,83,0.400000,1.000000,0.666667,1.000000,5,5
will-02,84,1.000000,1.000000,1.000000,1.000000,5,5
will-02,85,0.400000,1.000000,0.666667,1.000000,5,5
will-02,86,1.000000,1.000000,1.000000,1.000000,5,5
will-02,87,1.000000,1.000000,1.000000,1.000000,5,5
will-02,88,0.400000,1.000000,0.666667,1.000000,5,5
will-02,89,0.400000,1.000000,0.666667,1.000000,5,5
will-02,90,1.000000,1.000000,1.000000,1.000000,5,5
will-02,91,1.000000,1.000000,1.000000,1.000000,5,5
will-02,92,0.400000,1.000000,0.666667,1.000000,5,5
will-02,93,1.000000,1.000000,1.000000,1.000000,5,5
will-02,94,1.000000,1.000000,1.000000,1.000000,5,5
will-02,95,0.400000,1.000000,0.666667,1.000000,5,5
will-02,96,1.000000,1.000000,1.000000,1.000000,5,5
will-02,97,1.000000,1.000000,1.000000,1.000000,5,5
will-02,98,0.400000,1.000000,0.666667,1.000000,5,5
will-02,99,1.000000,1.000000,1.000000,1.000000,5,5
will-02,100,0.400000,1.000000,0.666667,1.000000,5,5
will-02,101,1.000000,1.000000,1.000000,1.000000,5,5
will-02,102,1.000000,1.000000,1.000000,1.000000,5,5
will-02,103,1.000000,1.000000,1.000000,1.000000,5,5
will-02,104,1.000000,1.000000,1.000000,1.000000,5,5
will-02,105,1.000000,1.000000,1.000000,1.000000,5,5
will-02,106,1.000000,1.000000,1.000000,1.000000,5,5
will-02,107,1.000000,1.000000,1.000000,1.000000,5,5
will-02,108,1.000000,1.000000,1.000000,1.000000,5,5
will-02,109,1.000000,1.000000,1.000000,1.000000,5,5
will-02,110,0.400000,1.000000,0.666667,1.000000,5,5
will-02,111,1.000000,1.000000,1.000000,1.000000,5,5
will-02,112,1.000000,1.000000,1.000000,1.000000,5,5
will-02,113,1.000000,1.000000,1.000000,1.000000,5,5
will-02,114,1.000000,1.000000,1.000000,1.000000,5,5
will-02,115,1.000000,1.000000,1.000000,1.000000,5,5
will-02,116,0.400000,1.000000,0.666667,1.000000,5,5
will-02,117,1.000000,1.000000,1.000000,1.000000,5,5
will-02,118,0.400000,1.000000,0.666667,1.000000,5,5
will-02,119,1.000000,1.000000,1.000000,1.000000,5,5
will-02,120,1.000000,1.000000,1.000000,1.000000,5,5
will-02,121,1.000000,1.000000,1.000000,1.000000,5,5
will-02,122,0.400000,1.000000,0.666667,1.000000,5,5
will-02,123,1.000000,1.000000,1.000000,1.000000,5,5
will-02,124,1.000000,1.000000,1.000000,1.000000,5,5
will-02,125,1.000000,1.000000,1.000000,1.000000,5,5
will-02,126,1.000000,1.000000,1.000000,1.000000,5,5
will-02,127,1.000000,1.000000,1.000000,1.000000,5,5
will-02,128,1.000000,1.000000,1.000000,1.000000,5,5
will-02,129,1.000000,1.000000,1.000000,1.000000,5,5
will-02,130,1.000000,1.000000,1.000000,1.000000,5,5
will-02,131,0.400000,1.000000,0.666667,1.000000,5,5
will-02,132,1.000000,1.000000,1.000000,1.000000,5,5
will-02,133,1.000000,1.000000,1.000000,1.000000,5,5
will-02,134,1.000000,1.000000,1.000000,1.000000,5,5
will-02,135,0.400000,1.000000,0.666667,1.000000,5,5
will-02,136,0.400000,1.000000,0.666667,1.000000,5,5
will-02,137,1.000000,1.000000,1.000000,1.000000,5,5
will-02,138,1.000000,1.000000,1.000000,1.000000,5,5
will-02,139,1.000000,1.000000,1.000000,1.000000,5,5
will-02,140,1.000000,1.000000,1.000000,1.000000,5,5
will-02,141,1.000000,1.000000,1.000000,1.000000,5,5
will-02,142,1.000000,1.000000,1.000000,1.000000,5,5
will-02,143,1.000000,1.000000,1.000000,1.000000,5,5
will-02,144,1.000000,1.000000,1.000000,1.000000,5,5
will-02,145,0.400000,1.000000,0.666667,1.000000,5,5
will-02,146,0.400000,1.000000,0.666667,1.000000,5,5
will-02,147,1.000000,1.000000,1.000000,1.000000,5,5
will-02,148,1.000000,1.000000,1.000000,1.000000,5,5
will-02,149,0.400000,1.000000,0.666667,1.000000,5,5
will-02,150,0.400000,1.000000,0.666667,1.000000,5,5
will-02,151,1.000000,1.000000,1.000000,1.000000,5,5
will-02,152,1.000000,1.000000,1.000000,1.000000,5,5
will-02,153,1.000000,1.000000,1.000000,1.000000,5,5
will-02,154,1.000000,1.000000,1.000000,1.000000,5,5
will-02,155,1.000000,1.000000,1.000000,1.000000,5,5
will-02,156,1.000000,1.000000,1.000000,1.000000,5,5
