fixture,sample_id,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,baseline_size,perturbed_size
02-agent,142,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,143,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,144,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,145,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,146,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,147,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,148,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,149,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,150,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,151,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,152,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,153,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,154,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,155,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,156,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,157,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,158,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,159,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,160,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,161,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,162,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,163,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,164,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,165,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,166,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,167,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,168,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,169,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,170,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,171,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,172,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,173,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,174,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,175,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,176,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,177,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,178,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,179,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,180,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,181,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,182,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,183,1.000000,1.000000,1.000000,1.000000,0,0
02-agent,184,1.000000,1.000000,1.000000,1.000000,0,0
